Camp	Taille	Vaisseau	Unique	Pilote	Coût	Valeur de pilotage	Valeur d'attaque de l'arme principale	Valeur d'agilité	Points de structure	Valeur de bouclier	Energie accumulable	Capacité	Commentaire	Action 1	Action 2	Action 3	Action 4	Amélioration 1	Amélioration 2	Amélioration 3	Amélioration 4	Amélioration 5	Amélioration 6	Amélioration 7	Amélioration 8	Amélioration 9	Amélioration 10	Amélioration 11	Amélioration 12
Empire	Normal	Défenseur TIE	True	Rexler Brath	37	8	3	3	3	3	0	Après avoir effectué une attaque qui inflige au moins une carte de dégâts au défenseur, vous pouvez dépenser un marqueur de concentration pour retourner ces cartes de dégâts face visible.		Acquisition de cible	Concentration	Tonneau		Canon	Missile	Modification	Talent	Titre							
Empire	Grand	Navette de classe Lambda	False	Pilote du groupe Omicron	21	2	3	1	5	5	0		Appareil utilitaire léger, la navette de classe Lambda, reconnaissable à sa triple aile caractéristique, joua un rôle de premier plan dans la Marine impériale.	Acquisition de cible	Concentration			Canon	Equipage	Equipage	Modification	Senseur	Titre						
Empire	Grand	Navette de classe Lambda	True	Capitaine Yorr	24	4	3	1	5	5	0	Quand un autre vaisseau allié situé à une portée comprise entre 1 et 2 est censé recevoir un marqueur de stress, vous pouvez le recevoir à sa place si vous n'avez pas plus de deux marqueurs de stress.		Acquisition de cible	Concentration			Canon	Equipage	Equipage	Modification	Senseur	Titre						
Empire	Grand	Navette de classe Lambda	True	Colonel Jendon	26	6	3	1	5	5	0	Au début de la phase de combat, vous pouvez assigner un de vos marqueurs d'acquisition de cible bleus à un vaisseau allié situé à portée 1 s'il n'a pas déjà un marqueur d'acquisition bleu. Cet allié peut dès lors cibler un ennemi en respectant les règles 		Acquisition de cible	Concentration			Canon	Equipage	Equipage	Modification	Senseur	Titre						
Empire	Grand	Navette de classe Lambda	True	Capitaine Kagi	27	8	3	1	5	5	0	Quand un vaisseau ennemi verrouille une cible, il doit verrouiller votre vaisseau si possible.		Acquisition de cible	Concentration			Canon	Equipage	Equipage	Modification	Senseur	Titre						
Empire	Grand	Firespray-31	False	Chasseur de primes	33	3	3	2	6	4	0		Originellement conçu pour le transport carcéral, l'appareil de patrouille Firespray dispose d'un armement polyvalent et d'un épais blindage.	Acquisition de cible	Concentration	Évasion		Bombe	Canon	Equipage	Missile	Modification	Titre						
Empire	Grand	Firespray-31	True	Krassis Trelix	36	5	3	2	6	4	0	Quand vous attaquez avec une arme secondaire, vous pouvez relancer un dé d'attaque.		Acquisition de cible	Concentration	Évasion		Bombe	Canon	Equipage	Missile	Modification	Titre						
Empire	Grand	Firespray-31	True	Kath Scarlet	38	7	3	2	6	4	0	Quand vous attaquez, le défenseur reçoit un marqueur de stress s'il annule au moins un résultat de touche critique.		Acquisition de cible	Concentration	Évasion		Bombe	Canon	Equipage	Missile	Modification	Talent	Titre					
Empire	Grand	Firespray-31	True	Boba Fett	39	8	3	2	6	4	0	Quand vous révélez une manœuvre de "virage sur l'aile", vous pouvez tourner votre cadran sur la manœuvre de virage sur l'aile opposée, mais de même vitesse.		Acquisition de cible	Concentration	Évasion		Bombe	Canon	Equipage	Missile	Modification	Talent	Titre					
Empire	Grand	Décimateur VT-49	False	Chef de patrouille	40	3	3	0	12	4	0		Recevoir le commandement d'un Décimateur VT-49 était une promotion de taille pour un officier moyen de la Marine impériale.	Acquisition de cible	Concentration			Bombe	Equipage	Equipage	Equipage	Modification	Titre	Torpille					
Empire	Grand	Décimateur VT-49	True	Capitaine Oicunn	42	4	3	0	12	4	0	Après avoir exécuté une manoeuvre, chaque vaisseau ennemi avec lequel vous êtes au contact subit 1 dégât.		Acquisition de cible	Concentration			Bombe	Equipage	Equipage	Equipage	Modification	Talent	Titre	Torpille				
Empire	Grand	Décimateur VT-49	True	Commandant Kenkirk	44	6	3	0	12	4	0	Si vous n'avez pas de boucliers et qu'au moins 1 carte de dégâts vous est assignée, augmentez de 1 votre valeur d'agilité.		Acquisition de cible	Concentration			Bombe	Equipage	Equipage	Equipage	Modification	Talent	Titre	Torpille				
Empire	Grand	Décimateur VT-49	True	Contre-amiral Chiraneau	46	8	3	0	12	4	0	Quand vous attaquez à portée 1 ou 2, vous pouvez changer un de vos résultats de concentration en un résultat de touche critique.		Acquisition de cible	Concentration			Bombe	Equipage	Equipage	Equipage	Modification	Talent	Titre	Torpille				
Empire	Immense	Corvette de classe Raider	False	/	100	4	4	0	16	10	6	Votre arme principale tire a une portée comprise entre 2 et 4. Une fois par tour, après avoir effectué une attaque d'arme principale, vous pouvez dépenser 2 en énergie pour effectuer une autre attaque d'arme principale.	La destruction de l'Étoile noire prouva au commandant impérial l'importance d'appareils antichasseurs, ce qui renouvela l'intérêt pour la corvette de classe Raider	Acquisition de cible	Coordination	Récupération	Renforcement	Equipage	Equipage	Equipe technique	Equipe technique	Equipe technique	Matériel de cargaison	Matériel de cargaison	Modification	Titre	Tourelle d'artillerie	Tourelle d'artillerie	Tourelle d'artillerie
